TEMA,SUBTEMA,VARIABLE,CLASE,Fuente,AnO,Valor
Generacion de empleo turismo,Sectores conexos,Alimentos y bebidas,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2014,149753.0833
Generacion de empleo turismo,Sectores conexos,Esparcimiento,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2014,1425.333333
Generacion de empleo turismo,Sectores conexos,Transporte aereo,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2014,10674.08333
Generacion de empleo turismo,Sectores conexos,Transporte terrestre,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2014,84302.91667
Generacion de empleo turismo,Participacion % ,Porcentaje,Empleo Turismo/ Turismo Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH Corte marzo 2020",2014,6.40%
Conectividad directa internacional,Ciudades,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2014,39
Conectividad directa internacional,Aerolineas,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2014,28
Conectividad directa internacional,Vuelos,Promedio mensual,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2014,3058
Conectividad directa internacional,Sillas,Promedio mensual,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2014,426588
Conectividad directa internacional,Pasajeros,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2014,4137399
indice de Presion Turistica,indice,indice,indice,Observatorio de Turismo,2014,1.18
PIB,Participacion % ,Porcentaje,Subsector: Alojamiento y servicio de comida/ PIB Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Cuentas Nacionales",2014,2.80%
PIB,Participacion % ,Porcentaje,Sector: Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida/ PIB Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Cuentas Nacionales",2014,19.40%
Informacion Destacada del turismo internacional,Mundo Entero,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2014,1133
Informacion Destacada del turismo internacional,Mundo Entero,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Trillones de Dolares ,International Tourism Highlights (2012-2019),2014,1.5
Informacion Destacada del turismo internacional,Mundo Entero,Transporte Internacional de Pasajeros,Millones de Personas,International Tourism Highlights (2012-2019),2014,221
Informacion Destacada del turismo internacional,Mundo Entero,Ingresos por turismo internacional,Billones de Dolares ,International Tourism Highlights (2012-2019),2014,1245
Informacion Destacada del turismo internacional,Europa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2014,582
Informacion Destacada del turismo internacional,Americas,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2014,181
Informacion Destacada del turismo internacional,Asia y el Pacifico,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2014,263
Informacion Destacada del turismo internacional,Africa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2014,56
Informacion Destacada del turismo internacional,Medio Oriente,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2014,51
Informacion Destacada del turismo internacional,Europa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2014,509
Informacion Destacada del turismo internacional,Americas,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2014,274
Informacion Destacada del turismo internacional,Asia y el Pacifico,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2014,377
Informacion Destacada del turismo internacional,Africa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2014,36
Informacion Destacada del turismo internacional,Medio Oriente,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2014,49
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"Ocio,recreacion,vacaciones",International Tourism Highlights (2012-2019),2014,53.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"VFR, salud,religion, otro",International Tourism Highlights (2012-2019),2014,27.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,Negocios y profesional,International Tourism Highlights (2012-2019),2014,14.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,No especificado,International Tourism Highlights (2012-2019),2014,6.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Aire,International Tourism Highlights (2012-2019),2014,54.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Terrestre y tren,International Tourism Highlights (2012-2019),2014,41.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Agua,International Tourism Highlights (2012-2019),2014,5.00%
Prestadores de Servicios Turisticos - PST,Agencia de viajes,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,1484
Prestadores de Servicios Turisticos - PST,Arrendadores de vehiculos para turismo nacional e internacional,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,39
Prestadores de Servicios Turisticos - PST,Concesionarios de servicios turisticos en parque,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,
Prestadores de Servicios Turisticos - PST,Empresa de tiempo compartido y multipropiedad,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,18
Prestadores de Servicios Turisticos - PST,Empresa de transporte terrestre automotor,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,76
Prestadores de Servicios Turisticos - PST,Empresas captadoras de ahorro para viajes y de servicios turisticos,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,12
Prestadores de Servicios Turisticos - PST,Establecimiento de alojamiento y hospedaje,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,720
Prestadores de Servicios Turisticos - PST,Establecimiento de alojamiento y hospedaje,Habitaciones,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,24620
Prestadores de Servicios Turisticos - PST,Establecimiento de alojamiento y hospedaje,Camas,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,37666
Prestadores de Servicios Turisticos - PST,Hotel,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,546
Prestadores de Servicios Turisticos - PST,Hotel,Habitaciones,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,21350
Prestadores de Servicios Turisticos - PST,Hotel,Camas,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,31012
Prestadores de Servicios Turisticos - PST,Establecimiento de gastronomia y similares,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,440
Prestadores de Servicios Turisticos - PST,Guia de turismo,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,150
Prestadores de Servicios Turisticos - PST,Oficina de representacion turistica,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,134
Prestadores de Servicios Turisticos - PST,"Operadores profesionales de congresos, ferias y convenciones",Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,178
Prestadores de Servicios Turisticos - PST,Parques tematicos,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,3
Prestadores de Servicios Turisticos - PST,"Usuarios operadores, desarrolladores e industriales en zonas francas turisticas",Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,
Prestadores de Servicios Turisticos - PST,Intercambio vacacional,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,
Airbnb & Homeaway,Barrios Unidos,Promedio mensual de propiedades,,,2015,12.125
Airbnb & Homeaway,Bosa,Promedio mensual de propiedades,,,2015,1
Airbnb & Homeaway,Candelaria,Promedio mensual de propiedades,,,2015,37.125
Airbnb & Homeaway,Chapinero,Promedio mensual de propiedades,,,2015,232.5
Airbnb & Homeaway,Engativa,Promedio mensual de propiedades,,,2015,10.625
Airbnb & Homeaway,Fontibon,Promedio mensual de propiedades,,,2015,20.5
Airbnb & Homeaway,Kennedy,Promedio mensual de propiedades,,,2015,5.875
Airbnb & Homeaway,Los Martires,Promedio mensual de propiedades,,,2015,1.4
Airbnb & Homeaway,Puente Aranda,Promedio mensual de propiedades,,,2015,1.75
Airbnb & Homeaway,Rafael Uribe Uribe,Promedio mensual de propiedades,,,2015,1
Airbnb & Homeaway,San Cristobal,Promedio mensual de propiedades,,,2015,1
Airbnb & Homeaway,Santa Fe,Promedio mensual de propiedades,,,2015,60.875
Airbnb & Homeaway,Suba,Promedio mensual de propiedades,,,2015,48.125
Airbnb & Homeaway,Teusaquillo,Promedio mensual de propiedades,,,2015,43.375
Airbnb & Homeaway,Usaquen,Promedio mensual de propiedades,,,2015,93.5
Airbnb & Homeaway,Usme,Promedio mensual de propiedades,,,2015,1
Tasa de ocupacion Hotelera,Tasa de ocupacion hotelera Bogota,Porcentaje,,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, Sistema de Informacion Turistica- SIH",2015,57.40%
Tasa de ocupacion Airbnb,Tasa de ocupacion Airbnb Bogota,Porcentaje,,,2015,41.20%
Generacion de empleo turismo,Empleo Turismo Bogota,Total,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2015,277004.6667
Generacion de empleo turismo,Sectores directos,Agencias de viaje,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2015,10899.83333
Generacion de empleo turismo,Sectores directos,Alojamiento y hospedaje,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2015,17110.66667
Generacion de empleo turismo,Sectores conexos,Alimentos y bebidas,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2015,160791.8333
Generacion de empleo turismo,Sectores conexos,Esparcimiento,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2015,2434.583333
Generacion de empleo turismo,Sectores conexos,Transporte aereo,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2015,10120.58333
Generacion de empleo turismo,Sectores conexos,Transporte terrestre,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2015,75647.16667
Generacion de empleo turismo,Participacion % ,Porcentaje,Empleo Turismo/ Turismo Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH Corte marzo 2020",2015,6.60%
Conectividad directa internacional,Ciudades,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2015,43
Conectividad directa internacional,Aerolineas,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2015,30
Conectividad directa internacional,Vuelos,Promedio mensual,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2015,3305
Conectividad directa internacional,Sillas,Promedio mensual,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2015,477287
Conectividad directa internacional,Pasajeros,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2015,4572010
indice de Presion Turistica,indice,indice,indice,Observatorio de Turismo,2015,1.04
PIB,Participacion % ,Porcentaje,Subsector: Alojamiento y servicio de comida/ PIB Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Cuentas Nacionales",2015,2.80%
PIB,Participacion % ,Porcentaje,Sector: Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida/ PIB Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Cuentas Nacionales",2015,19.30%
Informacion Destacada del turismo internacional,Mundo Entero,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2015,1186
Informacion Destacada del turismo internacional,Mundo Entero,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Trillones de Dolares ,International Tourism Highlights (2012-2019),2015,1.5
Informacion Destacada del turismo internacional,Mundo Entero,Transporte Internacional de Pasajeros,Millones de Personas,International Tourism Highlights (2012-2019),2015,211
Informacion Destacada del turismo internacional,Mundo Entero,Ingresos por turismo internacional,Billones de Dolares ,International Tourism Highlights (2012-2019),2015,1260
Informacion Destacada del turismo internacional,Europa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2015,608
Informacion Destacada del turismo internacional,Americas,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2015,193
Informacion Destacada del turismo internacional,Asia y el Pacifico,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2015,279
Informacion Destacada del turismo internacional,Africa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2015,53
Informacion Destacada del turismo internacional,Medio Oriente,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2015,53
Informacion Destacada del turismo internacional,Europa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2015,451
Informacion Destacada del turismo internacional,Americas,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2015,304
Informacion Destacada del turismo internacional,Asia y el Pacifico,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2015,418
Informacion Destacada del turismo internacional,Africa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2015,33
Informacion Destacada del turismo internacional,Medio Oriente,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2015,54
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"Ocio,recreacion,vacaciones",International Tourism Highlights (2012-2019),2015,53.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"VFR, salud,religion, otro",International Tourism Highlights (2012-2019),2015,27.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,Negocios y profesional,International Tourism Highlights (2012-2019),2015,14.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,No especificado,International Tourism Highlights (2012-2019),2015,6.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Aire,International Tourism Highlights (2012-2019),2015,54.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Terrestre y tren,International Tourism Highlights (2012-2019),2015,41.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Agua,International Tourism Highlights (2012-2019),2015,5.00%
Prestadores de Servicios Turisticos - PST,Agencia de viajes,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,1669
Prestadores de Servicios Turisticos - PST,Arrendadores de vehiculos para turismo nacional e internacional,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,40
Prestadores de Servicios Turisticos - PST,Concesionarios de servicios turisticos en parque,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,1
Prestadores de Servicios Turisticos - PST,Empresa de tiempo compartido y multipropiedad,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,18
Prestadores de Servicios Turisticos - PST,Empresa de transporte terrestre automotor,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,92
Prestadores de Servicios Turisticos - PST,Empresas captadoras de ahorro para viajes y de servicios turisticos,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,17
Prestadores de Servicios Turisticos - PST,Establecimiento de alojamiento y hospedaje,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,810
Prestadores de Servicios Turisticos - PST,Establecimiento de alojamiento y hospedaje,Habitaciones,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,26121
Prestadores de Servicios Turisticos - PST,Establecimiento de alojamiento y hospedaje,Camas,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,40232
Prestadores de Servicios Turisticos - PST,Hotel,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,599
Prestadores de Servicios Turisticos - PST,Hotel,Habitaciones,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,22566
Prestadores de Servicios Turisticos - PST,Hotel,Camas,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,33007
Prestadores de Servicios Turisticos - PST,Establecimiento de gastronomia y similares,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,497
Prestadores de Servicios Turisticos - PST,Guia de turismo,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,131
Prestadores de Servicios Turisticos - PST,Oficina de representacion turistica,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,161
Prestadores de Servicios Turisticos - PST,"Operadores profesionales de congresos, ferias y convenciones",Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,216
Prestadores de Servicios Turisticos - PST,Parques tematicos,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,2
Prestadores de Servicios Turisticos - PST,"Usuarios operadores, desarrolladores e industriales en zonas francas turisticas",Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,2
Prestadores de Servicios Turisticos - PST,Intercambio vacacional,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2016,
Airbnb & Homeaway,Barrios Unidos,Promedio mensual de propiedades,,,2016,43.5
Airbnb & Homeaway,Bosa,Promedio mensual de propiedades,,,2016,1.5
Airbnb & Homeaway,Candelaria,Promedio mensual de propiedades,,,2016,59
Airbnb & Homeaway,Chapinero,Promedio mensual de propiedades,,,2016,502
Airbnb & Homeaway,Engativa,Promedio mensual de propiedades,,,2016,25.58333333
Airbnb & Homeaway,Fontibon,Promedio mensual de propiedades,,,2016,60.16666667
Airbnb & Homeaway,Kennedy,Promedio mensual de propiedades,,,2016,15.91666667
Airbnb & Homeaway,Los Martires,Promedio mensual de propiedades,,,2016,2.4
Airbnb & Homeaway,Puente Aranda,Promedio mensual de propiedades,,,2016,5.416666667
Airbnb & Homeaway,Rafael Uribe Uribe,Promedio mensual de propiedades,,,2016,2
Airbnb & Homeaway,San Cristobal,Promedio mensual de propiedades,,,2016,2.666666667
Airbnb & Homeaway,Santa Fe,Promedio mensual de propiedades,,,2016,105.0833333
Airbnb & Homeaway,Suba,Promedio mensual de propiedades,,,2016,112.8333333
Airbnb & Homeaway,Teusaquillo,Promedio mensual de propiedades,,,2016,128.1666667
Airbnb & Homeaway,Usaquen,Promedio mensual de propiedades,,,2016,252.5
Airbnb & Homeaway,Usme,Promedio mensual de propiedades,,,2016,1
Tasa de ocupacion Hotelera,Tasa de ocupacion hotelera Bogota,Porcentaje,,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, Sistema de Informacion Turistica- SIH",2016,55.50%
Tasa de ocupacion Airbnb,Tasa de ocupacion Airbnb Bogota,Porcentaje,,,2016,39.40%
Generacion de empleo turismo,Empleo Turismo Bogota,Total,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2016,269769.5833
Generacion de empleo turismo,Sectores directos,Agencias de viaje,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2016,13589.58333
Generacion de empleo turismo,Sectores directos,Alojamiento y hospedaje,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2016,15104.91667
Generacion de empleo turismo,Sectores conexos,Alimentos y bebidas,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2016,155465.3333
Generacion de empleo turismo,Sectores conexos,Esparcimiento,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2016,3049.416667
