TEMA,SUBTEMA,VARIABLE,CLASE,Fuente,AnO,Valor
Generacion de empleo turismo,Sectores conexos,Transporte aereo,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2016,12292.33333
Generacion de empleo turismo,Sectores conexos,Transporte terrestre,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2016,70268
Generacion de empleo turismo,Participacion % ,Porcentaje,Empleo Turismo/ Turismo Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH Corte marzo 2020",2016,6.30%
Conectividad directa internacional,Ciudades,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2016,45
Conectividad directa internacional,Aerolineas,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2016,32
Conectividad directa internacional,Vuelos,Promedio mensual,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2016,3336
Conectividad directa internacional,Sillas,Promedio mensual,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2016,501903
Conectividad directa internacional,Pasajeros,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2016,4845637
indice de Presion Turistica,indice,indice,indice,Observatorio de Turismo,2016,1.13
indice de Competitividad Turistica Regional de Colombia-ICTRC,indice,indice,indice,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2016,6.82
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Estrategia de mercado,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2016,8.38
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Infraestructura,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2016,8.84
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Economico,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2016,8.55
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Cultural,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2016,6.86
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Social,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2016,6.4
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Empresarial,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2016,6.84
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Ambiental,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2016,5.06
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Gestion de destino,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2016,5.18
PIB,Participacion % ,Porcentaje,Subsector: Alojamiento y servicio de comida/ PIB Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Cuentas Nacionales",2016,2.80%
PIB,Participacion % ,Porcentaje,Sector: Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida/ PIB Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Cuentas Nacionales",2016,19.30%
Informacion Destacada del turismo internacional,Mundo Entero,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2016,1235
Informacion Destacada del turismo internacional,Mundo Entero,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Trillones de Dolares ,International Tourism Highlights (2012-2019),2016,1.4
Informacion Destacada del turismo internacional,Mundo Entero,Transporte Internacional de Pasajeros,Millones de Personas,International Tourism Highlights (2012-2019),2016,216
Informacion Destacada del turismo internacional,Mundo Entero,Ingresos por turismo internacional,Billones de Dolares ,International Tourism Highlights (2012-2019),2016,1220
Informacion Destacada del turismo internacional,Europa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2016,616
Informacion Destacada del turismo internacional,Americas,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2016,199
Informacion Destacada del turismo internacional,Asia y el Pacifico,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2016,308
Informacion Destacada del turismo internacional,Africa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2016,58
Informacion Destacada del turismo internacional,Medio Oriente,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2016,54
Informacion Destacada del turismo internacional,Europa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2016,447
Informacion Destacada del turismo internacional,Americas,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2016,313
Informacion Destacada del turismo internacional,Asia y el Pacifico,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2016,367
Informacion Destacada del turismo internacional,Africa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2016,35
Informacion Destacada del turismo internacional,Medio Oriente,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2016,58
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"Ocio,recreacion,vacaciones",International Tourism Highlights (2012-2019),2016,53.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"VFR, salud,religion, otro",International Tourism Highlights (2012-2019),2016,27.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,Negocios y profesional,International Tourism Highlights (2012-2019),2016,13.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,No especificado,International Tourism Highlights (2012-2019),2016,6.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Aire,International Tourism Highlights (2012-2019),2016,55.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Terrestre y tren,International Tourism Highlights (2012-2019),2016,41.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Agua,International Tourism Highlights (2012-2019),2016,4.00%
Prestadores de Servicios Turisticos - PST,Agencia de viajes,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,1470
Prestadores de Servicios Turisticos - PST,Arrendadores de vehiculos para turismo nacional e internacional,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,39
Prestadores de Servicios Turisticos - PST,Concesionarios de servicios turisticos en parque,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,2
Prestadores de Servicios Turisticos - PST,Empresa de tiempo compartido y multipropiedad,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,12
Prestadores de Servicios Turisticos - PST,Empresa de transporte terrestre automotor,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,75
Prestadores de Servicios Turisticos - PST,Empresas captadoras de ahorro para viajes y de servicios turisticos,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,19
Prestadores de Servicios Turisticos - PST,Establecimiento de alojamiento y hospedaje,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,808
Prestadores de Servicios Turisticos - PST,Establecimiento de alojamiento y hospedaje,Habitaciones,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,26441
Prestadores de Servicios Turisticos - PST,Establecimiento de alojamiento y hospedaje,Camas,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,40794
Prestadores de Servicios Turisticos - PST,Hotel,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,594
Prestadores de Servicios Turisticos - PST,Hotel,Habitaciones,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,22726
Prestadores de Servicios Turisticos - PST,Hotel,Camas,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,33257
Prestadores de Servicios Turisticos - PST,Establecimiento de gastronomia y similares,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,561
Prestadores de Servicios Turisticos - PST,Guia de turismo,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,160
Prestadores de Servicios Turisticos - PST,Oficina de representacion turistica,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,160
Prestadores de Servicios Turisticos - PST,"Operadores profesionales de congresos, ferias y convenciones",Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,174
Prestadores de Servicios Turisticos - PST,Parques tematicos,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,1
Prestadores de Servicios Turisticos - PST,"Usuarios operadores, desarrolladores e industriales en zonas francas turisticas",Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,1
Prestadores de Servicios Turisticos - PST,Intercambio vacacional,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2017,1
Airbnb & Homeaway,Barrios Unidos,Promedio mensual de propiedades,,,2017,92.83333333
Airbnb & Homeaway,Bosa,Promedio mensual de propiedades,,,2017,1.5
Airbnb & Homeaway,Candelaria,Promedio mensual de propiedades,,,2017,104.8333333
Airbnb & Homeaway,Chapinero,Promedio mensual de propiedades,,,2017,921.25
Airbnb & Homeaway,Engativa,Promedio mensual de propiedades,,,2017,69.75
Airbnb & Homeaway,Fontibon,Promedio mensual de propiedades,,,2017,117.9166667
Airbnb & Homeaway,Kennedy,Promedio mensual de propiedades,,,2017,33.41666667
Airbnb & Homeaway,Los Martires,Promedio mensual de propiedades,,,2017,11.33333333
Airbnb & Homeaway,Puente Aranda,Promedio mensual de propiedades,,,2017,11.83333333
Airbnb & Homeaway,Rafael Uribe Uribe,Promedio mensual de propiedades,,,2017,4.833333333
Airbnb & Homeaway,San Cristobal,Promedio mensual de propiedades,,,2017,2.818181818
Airbnb & Homeaway,Santa Fe,Promedio mensual de propiedades,,,2017,198.0833333
Airbnb & Homeaway,Suba,Promedio mensual de propiedades,,,2017,225.0833333
Airbnb & Homeaway,Teusaquillo,Promedio mensual de propiedades,,,2017,287.6666667
Airbnb & Homeaway,Usaquen,Promedio mensual de propiedades,,,2017,516.1666667
Airbnb & Homeaway,Usme,Promedio mensual de propiedades,,,2017,1.2
Tasa de ocupacion Hotelera,Tasa de ocupacion hotelera Bogota,Porcentaje,,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, Sistema de Informacion Turistica- SIH",2017,58.30%
Tasa de ocupacion Airbnb,Tasa de ocupacion Airbnb Bogota,Porcentaje,,,2017,44.00%
Generacion de empleo turismo,Empleo Turismo Bogota,Total,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2017,274858.5833
Generacion de empleo turismo,Sectores directos,Agencias de viaje,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2017,12576.75
Generacion de empleo turismo,Sectores directos,Alojamiento y hospedaje,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2017,16499.91667
Generacion de empleo turismo,Sectores conexos,Alimentos y bebidas,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2017,142267.5833
Generacion de empleo turismo,Sectores conexos,Esparcimiento,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2017,1918.083333
Generacion de empleo turismo,Sectores conexos,Transporte aereo,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2017,10367.83333
Generacion de empleo turismo,Sectores conexos,Transporte terrestre,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2017,91228.41667
Generacion de empleo turismo,Participacion % ,Porcentaje,Empleo Turismo/ Turismo Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH Corte marzo 2020",2017,6.70%
Conectividad directa internacional,Ciudades,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2017,47
Conectividad directa internacional,Aerolineas,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2017,32
Conectividad directa internacional,Vuelos,Promedio mensual,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2017,3375
Conectividad directa internacional,Sillas,Promedio mensual,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2017,526262
Conectividad directa internacional,Pasajeros,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2017,5161725
indice de Presion Turistica,indice,indice,indice,Observatorio de Turismo,2017,1.25
indice de Competitividad Turistica Regional de Colombia-ICTRC,indice,indice,indice,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2017,7.12
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Estrategia de mercado,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2017,9.61
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Infraestructura,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2017,8.71
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Economico,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2017,7.46
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Cultural,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2017,7.08
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Social,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2017,6.95
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Empresarial,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2017,6.24
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Ambiental,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2017,6.58
indice de Competitividad Turistica Regional de Colombia-ICTRC,Criterio,Gestion de destino,indice 0-10,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, ICTRC",2017,5.64
PIB,Participacion % ,Porcentaje,Subsector: Alojamiento y servicio de comida/ PIB Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Cuentas Nacionales",2017,2.80%
PIB,Participacion % ,Porcentaje,Sector: Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida/ PIB Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Cuentas Nacionales",2017,19.20%
Informacion Destacada del turismo internacional,Mundo Entero,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2017,1326
Informacion Destacada del turismo internacional,Mundo Entero,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Trillones de Dolares ,International Tourism Highlights (2012-2019),2017,1.6
Informacion Destacada del turismo internacional,Mundo Entero,Transporte Internacional de Pasajeros,Millones de Personas,International Tourism Highlights (2012-2019),2017,240
Informacion Destacada del turismo internacional,Mundo Entero,Ingresos por turismo internacional,Billones de Dolares ,International Tourism Highlights (2012-2019),2017,1340
Informacion Destacada del turismo internacional,Europa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2017,672
Informacion Destacada del turismo internacional,Americas,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2017,211
Informacion Destacada del turismo internacional,Asia y el Pacifico,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2017,323
Informacion Destacada del turismo internacional,Africa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2017,63
Informacion Destacada del turismo internacional,Medio Oriente,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2017,58
Informacion Destacada del turismo internacional,Europa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2017,519
Informacion Destacada del turismo internacional,Americas,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2017,326
Informacion Destacada del turismo internacional,Asia y el Pacifico,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2017,390
Informacion Destacada del turismo internacional,Africa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2017,37
Informacion Destacada del turismo internacional,Medio Oriente,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2017,68
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"Ocio,recreacion,vacaciones",International Tourism Highlights (2012-2019),2017,55.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"VFR, salud,religion, otro",International Tourism Highlights (2012-2019),2017,27.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,Negocios y profesional,International Tourism Highlights (2012-2019),2017,13.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,No especificado,International Tourism Highlights (2012-2019),2017,6.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Aire,International Tourism Highlights (2012-2019),2017,57.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Terrestre y tren,International Tourism Highlights (2012-2019),2017,39.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Agua,International Tourism Highlights (2012-2019),2017,4.00%
Prestadores de Servicios Turisticos - PST,Agencia de viajes,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,1443
Prestadores de Servicios Turisticos - PST,Arrendadores de vehiculos para turismo nacional e internacional,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,34
Prestadores de Servicios Turisticos - PST,Concesionarios de servicios turisticos en parque,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,
Prestadores de Servicios Turisticos - PST,Empresa de tiempo compartido y multipropiedad,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,14
Prestadores de Servicios Turisticos - PST,Empresa de transporte terrestre automotor,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,90
Prestadores de Servicios Turisticos - PST,Empresas captadoras de ahorro para viajes y de servicios turisticos,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,15
Prestadores de Servicios Turisticos - PST,Establecimiento de alojamiento y hospedaje,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,829
Prestadores de Servicios Turisticos - PST,Establecimiento de alojamiento y hospedaje,Habitaciones,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,27714
Prestadores de Servicios Turisticos - PST,Establecimiento de alojamiento y hospedaje,Camas,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,42902
Prestadores de Servicios Turisticos - PST,Hotel,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,605
Prestadores de Servicios Turisticos - PST,Hotel,Habitaciones,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,23914
Prestadores de Servicios Turisticos - PST,Hotel,Camas,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,35205
Prestadores de Servicios Turisticos - PST,Establecimiento de gastronomia y similares,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,533
Prestadores de Servicios Turisticos - PST,Guia de turismo,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,195
Prestadores de Servicios Turisticos - PST,Oficina de representacion turistica,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,134
Prestadores de Servicios Turisticos - PST,"Operadores profesionales de congresos, ferias y convenciones",Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,182
Prestadores de Servicios Turisticos - PST,Parques tematicos,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,1
Prestadores de Servicios Turisticos - PST,"Usuarios operadores, desarrolladores e industriales en zonas francas turisticas",Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,
Prestadores de Servicios Turisticos - PST,Intercambio vacacional,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2018,1
Airbnb & Homeaway,Barrios Unidos,Promedio mensual de propiedades,,,2018,167.6666667
